"pathway","effect","F_value","p_value","padj"
"Ketone metabolism","myc_status",6.18142029649997,0.0218657735903066,0.0302756865096552
"Mitochondrial dynamics and surveillance","myc_status",6.1908499221901,0.0217776009143416,0.0302756865096552
"Complex IV","myc_status",5.93612366639822,0.0243067844358383,0.033335018654864
"Choline and betaine metabolism","myc_status",5.70531629691517,0.0268869972912269,0.0365257321692139
"Cardiolipin synthesis","myc_status",5.51742529620439,0.0292167237356256,0.0393197029713092
"Import motor","myc_status",5.44104986547096,0.0302282214648778,0.0403042952865038
"Heme synthesis and processing","myc_status",5.31196305156133,0.03202909705156,0.0419289997765877
"Autophagy","myc_status",5.32849392136179,0.0317918392010284,0.0419289997765877
"CIII assembly factors","myc_status",5.19552522728742,0.033758157201644,0.0434105608548241
"CIV subunits","myc_status",5.17822133786798,0.034024022358172,0.0434105608548241
"SLC25A family","myc_status",5.17555292146087,0.0340652317819106,0.0434105608548241
"mt-mRNA modifications","myc_status",5.10521564431667,0.0351721312984333,0.0444279553243368
"Q-linked reactions, other","myc_status",5.02721823418543,0.0364475066634552,0.0456386170394569
"Urea cycle","myc_status",4.71257692768179,0.0421536038815597,0.0523286117150396
"Fatty acid oxidation","myc_status",4.40197809293546,0.0488037284890001,0.060066127371077
"Amidoxime reducing complex","myc_status",3.86985959475746,0.063187631351928,0.0771103297854037
"Respirasome assembly","myc_status",3.58617267384487,0.0728196620319682,0.088117910358012
"Vitamin D metabolism","myc_status",3.51401657249825,0.075533392741935,0.090640071290322
"Nucleotide import","myc_status",3.46310026977531,0.0775188466479034,0.092253834027257
"Detoxification","myc_status",3.33507692611006,0.0827843688590738,0.0977126976697265
